RegionID,Region,Provincia,Comuna,Superficie,Poblacion,Densidad,IDH_2005
13,Los Lagos,Osorno,San Pablo,637.3,9150,14.4,0.625
14,Aisén del General Carlos Ibáñez del Campo,Aysén,Aysén,29796.4,27187,0.9,0.674
14,Aisén del General Carlos Ibáñez del Campo,General Carrera,Chile Chico,5737.1,5334,0.8,0.707
14,Aisén del General Carlos Ibáñez del Campo,Aysén,Cisnes,16093,6166,0.3,0.725
14,Aisén del General Carlos Ibáñez del Campo,Capitán Prat,Cochrane,8599.5,2759,0.3,0.668
14,Aisén del General Carlos Ibáñez del Campo,Coyhaique,Coyhaique,7290.2,59221,6.8,0.751
14,Aisén del General Carlos Ibáñez del Campo,Aysén,Guaitecas,620.6,1862,2.4,0.654
14,Aisén del General Carlos Ibáñez del Campo,Coyhaique,Lago Verde,5422.3,925,0.2,0.637
14,Aisén del General Carlos Ibáñez del Campo,Capitán Prat,O'Higgins,8182.5,700,0.1,0.572
14,Aisén del General Carlos Ibáñez del Campo,General Carrera,Río Ibáñez,5997.2,2208,0.4,0.654
14,Aisén del General Carlos Ibáñez del Campo,Capitán Prat,Tortel,19710.6,531,0,0.655
15,Magallanes y de la Antártica Chilena,Antártica Chilena,Antártica,1250257.6,127,0,
15,Magallanes y de la Antártica Chilena,Antártica Chilena,Cabo de Hornos,15578.7,1677,0.1,0.806
15,Magallanes y de la Antártica Chilena,Magallanes,Laguna Blanca,3695.6,631,0,0.785
15,Magallanes y de la Antártica Chilena,Última Esperanza,Natales,49924.1,21327,0.4,0.699
15,Magallanes y de la Antártica Chilena,Tierra del Fuego,Porvenir,9707.4,5650,0.8,0.731
15,Magallanes y de la Antártica Chilena,Tierra del Fuego,Primavera,4253.4,803,0.2,0.774
15,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,17846.3,125483,6.8,0.748
15,Magallanes y de la Antártica Chilena,Magallanes,Río Verde,17248,363,0,0.784
15,Magallanes y de la Antártica Chilena,Magallanes,San Gregorio,6883.7,731,0.1,0.823
15,Magallanes y de la Antártica Chilena,Tierra del Fuego,Timaukel,10758.9,873,0.1,0.717
15,Magallanes y de la Antártica Chilena,Última Esperanza,Torres del Paine,6630,1163,0.1,0.73
